Substance,Konstrukt,Batch,Konzentration,Replikat,Area,Mean,StdDev
,P19,2,0,1,2621.546,0.723,0.419
,P19,2,0,2,1393.821,0.515,0.38
,P19,2,0,3,17184.272,3.52,1.377
,P19,2,0,4,8471.881,2.739,1.138
,P19,2,0,5,1316.745,0.468,0.24
,roGFPxP19,2,0,1,5735.892,0.634,0.203
,roGFPxP19,2,0,2,3781.96,0.399,0.13
,roGFPxP19,2,0,3,3852.66,0.582,0.147
,roGFPxP19,2,0,4,2737.603,0.439,0.14
,roGFPxP19,2,0,5,2697.169,0.492,0.18
H2O,roGFPxP19,2,0,1,1953.367,0.424,0.127
H2O,roGFPxP19,2,0,2,2974.238,0.284,0.116
H2O,roGFPxP19,2,0,3,3740.799,0.455,0.265
H2O,roGFPxP19,2,0,4,5282.154,0.206,0.053
H2O,roGFPxP19,2,0,5,7332.128,0.201,0.069
H2O,roGFPxP19,2,0,6,7045.535,0.235,0.084
H2O,roGFPxP19,2,0,7,2547.698,0.232,0.091
_H2O2,roGFPxP19,2,10,1,738.475,0.782,0.219
_H2O2,roGFPxP19,2,10,2,3037.916,0.422,0.254
_H2O2,roGFPxP19,2,10,3,4137.639,0.27,0.098
_H2O2,roGFPxP19,2,10,4,6822.782,0.27,0.081
_H2O2,roGFPxP19,2,10,5,2955.11,0.717,0.619
_H2O2,roGFPxP19,2,10,6,2232.212,0.471,0.316
_H2O2,roGFPxP19,2,10,7,1990.412,0.301,0.102
_DTT,roGFPxP19,2,2,1,9234.165,0.208,0.121
_DTT,roGFPxP19,2,2,2,6892.433,0.219,0.131
_DTT,roGFPxP19,2,2,3,7924.038,0.182,0.083
_DTT,roGFPxP19,2,2,4,7902.166,0.158,0.081
_DTT,roGFPxP19,2,2,5,6076.801,0.143,0.05
_DTT,roGFPxP19,2,2,6,4964.166,0.249,0.275
CTween,roGFPxP19,2,20,1,4235.214,0.434,0.141
CTween,roGFPxP19,2,20,2,8478.984,0.44,0.169
CTween,roGFPxP19,2,20,3,5806.915,0.22,0.118
CTween,roGFPxP19,2,20,4,12598.948,0.254,0.131
CTween,roGFPxP19,2,20,5,5897.711,0.284,0.105
C,roGFPxP19,2,20,1,9940.841,0.388,0.156
C,roGFPxP19,2,20,2,8223.463,0.306,0.116
C,roGFPxP19,2,20,3,8305.785,0.254,0.084
C,roGFPxP19,2,20,4,4704.61,0.255,0.093
C,roGFPxP19,2,20,5,3368.414,0.188,0.102
C,roGFPxP19,2,50,1,6735.376,0.622,0.151
C,roGFPxP19,2,50,2,864.54,0.562,0.14
C,roGFPxP19,2,50,3,6336.276,0.686,0.192
C,roGFPxP19,2,50,4,5694.893,0.597,0.258
C,roGFPxP19,2,50,5,457.612,0.443,0.032
H2O,roGFPxP19,2,0,1,10481.986,0.583,0.16
H2O,roGFPxP19,2,0,2,9910.415,0.532,0.175
H2O,roGFPxP19,2,0,3,12731.631,0.525,0.146
H2O,roGFPxP19,2,0,4,4806.867,0.482,0.158
H2O,roGFPxP19,2,0,5,16314.566,0.439,0.118
H,roGFPxP19,2,50,1,1903.49,0.281,0.084
H,roGFPxP19,2,50,2,11821.491,0.396,0.158
H,roGFPxP19,2,50,3,11410.205,0.425,0.161
H,roGFPxP19,2,50,4,9845.203,0.374,0.186
H,roGFPxP19,2,50,5,10417.259,0.344,0.164
R,roGFPxP19,2,20,1,3742.494,0.175,0.079
R,roGFPxP19,2,20,2,4050.959,0.194,0.098
R,roGFPxP19,2,20,3,3232.503,0.155,0.061
R,roGFPxP19,2,20,4,3675.83,0.164,0.059
R,roGFPxP19,2,20,5,4599.609,0.209,0.099
R,roGFPxP19,2,50,1,1962.568,0.529,0.12
R,roGFPxP19,2,50,2,3697.944,0.551,0.126
R,roGFPxP19,2,50,3,6356.131,0.503,0.15
R,roGFPxP19,2,50,4,5057.302,0.384,0.099
R,roGFPxP19,2,50,5,7078.545,0.88,0.505
H2O2,roGFPxP19,2,10,1,7416.548,0.594,0.144
H2O2,roGFPxP19,2,10,2,7397.34,0.678,0.136
H2O2,roGFPxP19,2,10,3,10254.068,0.64,0.143
H2O2,roGFPxP19,2,10,4,10186.919,0.69,0.147
H2O2,roGFPxP19,2,10,5,8926.346,0.592,0.174
H2O2,roGFPxP19,2,10,6,7086.535,0.664,0.136
DTT,roGFPxP19,2,2,1,18746.691,0.247,0.146
DTT,roGFPxP19,2,2,2,3533.3,0.162,0.069
DTT,roGFPxP19,2,2,3,1681.786,0.124,0.033
DTT,roGFPxP19,2,2,4,15388.446,0.227,0.134
DTT,roGFPxP19,2,2,5,7376.921,0.187,0.08
H,roGFPxP19,2,20,1,8635.637,0.555,0.161
H,roGFPxP19,2,20,2,6519.079,0.47,0.123
H,roGFPxP19,2,20,3,10085.147,0.486,0.147
H,roGFPxP19,2,20,4,9662.158,0.357,0.141
H,roGFPxP19,2,20,5,5343.734,0.387,0.095
H,roGFPxP19,2,20,6,7179.51,0.416,0.18
