substance,substance_conc,replicate,l0,l7,l14,,,comment,,,,,,
RE,250,3,0.695,0.814,0.768,,,,,,,,,
RE,250,3,1.539,4.158,7.684,,,,,,,,,
RE,250,3,1.184,2.363,5.551,,,,,,,,,
RE,250,3,0.765,0.753,0.739,,,,,,,,,
RE,250,3,1.692,3.019,5.596,,,,,,,,,
HQ,100,3,1.933,3.524,5.766,,,,,,,,,
HQ,100,3,1.226,1.491,1.486,,,,,,,,,
HQ,100,3,1.017,1.505,2.193,,,,,,,,,
HQ,100,3,0.676,0.576,0.93,,,,,,,,,
HQ,100,3,2.061,3.479,4.941,,,,,,,,,
CA,500,3,0.664,0.671,NA,,,,,,,,,
CA,500,3,NA,0.415,NA,,,,,,,,,
CA,500,3,0.293,0.221,NA,,,,,,,,,
CA,500,3,0.773,0.726,NA,,,,,,,,,
CA,500,3,0.652,0.754,NA,,,,,,,,,
RE,750,3,1.949,2.559,5.104,,,,,,,,,
RE,750,3,0.583,0.622,0.668,,,,,,,,,
RE,750,3,0.609,0.617,0.563,,,,,,,,,
RE,750,3,0.586,0.662,0.732,,,,,,,,,
RE,750,3,0.506,1.466,2.29,,,,,,,,,
HQ,750,3,0.418,0.436,0.491,,,,,,,,,
HQ,750,3,0.597,0.702,0.646,,,,,,,,,
HQ,750,3,0.975,1.038,0.936,,,,,,,,,
HQ,750,3,3.802,3.842,3.942,,,,,,,,,
HQ,750,3,1.509,1.608,1.539,,,,,,,,,
CTRL,0,3,0.574,0.58,0.625,,,,,,,,,
CTRL,0,3,0.768,0.832,0.868,,,,,,,,,
CTRL,0,3,1.576,3.221,6.597,,,,,,,,,
CTRL,0,3,1.885,4.618,9.614,,,,,,,,,
CTRL,0,3,0.563,0.468,0.597,,,,,,,,,
