R2-10-3,7.756,16.194
R3-10-3,6.595,13.274
R4-10-3,10.808,24.295
R5-10-3,8.232,16.76
R1-25-3,5.764,0.392
R2-25-3,7.524,0.529
R3-25-3,10.028,9.003
R4-25-3,9.005,8.096
R5-25-3,8.623,5.632
R1-75-3,9.74,0
R2-75-3,13.923,3.825
R3-75-3,9.694,0.792
R4-75-3,9.742,3.871
R5-75-3,10.49,0.688
R1-150-3,10.309,0.256
R2-150-3,8.053,0
R3-150-3,9.818,0.041
R4-150-3,6.124,0
R5-150-3,10.086,0
H1-2-3,10.729,16.902
H2-2-3,5.858,12.508
H3-2-3,10.729,20.361
H4-2-3,7.145,18.411
H5-2-3,10.052,20.577
H1-10-3,9.715,10.463
H2-10-3,7.701,11.519
H3-10-3,8.129,8.376
H4-10-3,6.743,7.853
H5-10-3,6.682,10.919
H1-25-3,9.464,4.02
H2-25-3,8.259,5.8
H3-25-3,9.623,3.67
H4-25-3,5.984,4.378
H5-25-3,9.902,10.066
H1-75-3,7.353,3.397
H2-75-3,6.889,0.509
H3-75-3,5.855,2.123
H4-75-3,7.584,2.141
H5-75-3,7.14,0.217
H1-200-3,7.506,0.381
H2-200-3,8.234,0
H3-200-3,3.031,0
H4-200-3,8.663,0
H5-200-3,9.748,0
CTRL1-0-3,4.117,12.809
CTRL2-0-3,10.662,24.713
CTRL3-0-3,10.002,23.664
CTRL4-0-3,8.499,21.635
CTRL5-0-3,10.418,25.456
CTRL1-0-4,4.439,11.803
CTRL2-0-4,3.986,10.799
CTRL3-0-4,5.484,10.726
CTRL4-0-4,4.584,14.365
H1-2-4,3.953,6.879
H2-2-4,5.166,11.306
H3-2-4,2.757,9.397
H4-2-4,5.449,14.133
H1-200-4,5.288,0
H2-200-4,5.652,0
H3-200-4,3.218,0
H4-200-4,4.231,0
R1-2-4,6.244,5.663
R2-2-4,3.586,10.002
R3-2-4,5.669,14.805
R4-2-4,3.579,9.584
R1-150-4,4.711,0
R2-150-4,5.206,0
R3-150-4,4.175,0
R4-150-4,5.161,0
C1-2-4,6.274,10.72
C2-2-4,6.81,7.535
C3-2-4,7.418,10.347
C4-2-4,5.23,10.453
C1-5-4,3.987,6.714
C2-5-4,5.032,6.143
C3-5-4,5.828,5.214
C4-5-4,2.897,4.565
